Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
creta,2014,5.78,21.85,107999,Petrol,Dealer,Manual,1
beat,2014,4.3,17.6,108059,Petrol,Dealer,Manual,0
polo,2015,9.89,35.22,147788,Petrol,Dealer,Manual,1
kwid,2016,7.54,17.54,57548,Petrol,Individual,Manual,0
wr-v,2018,4.59,11.38,43490,Petrol,Individual,Manual,0
wr-v,2014,5.75,20.87,91346,Petrol,Dealer,Manual,0
brio,2012,4.65,18.93,131320,Petrol,Individual,Manual,0
thar,2016,4.32,12.6,106088,Diesel,Dealer,Automatic,0
kwid,2011,4.0,33.95,164407,Petrol,Dealer,Manual,0
endeavour,2013,2.92,13.21,204074,Petrol,Dealer,Manual,0
city,2007,0.43,11.43,190098,Petrol,Individual,Manual,0
cruze,2005,2.21,26.21,299662,Petrol,Dealer,Manual,0
bolero,2018,8.04,22.22,114298,Petrol,Individual,Manual,0
baleno,2017,6.15,14.27,63600,Diesel,Dealer,Manual,1
swift,2015,8.01,32.24,96863,Diesel,Individual,Manual,0
swift,2013,2.66,9.49,94835,Petrol,Individual,Manual,0
wagon r,2010,5.35,52.47,180803,Petrol,Dealer,Manual,0
corolla,2009,0.22,11.16,177157,Diesel,Individual,Manual,0
grand i10,2011,2.92,24.43,223888,Petrol,Dealer,Automatic,0
alto,2014,2.19,11.51,168057,Diesel,Individual,Manual,0
kwid,2016,22.86,68.21,104024,Petrol,Dealer,Manual,0
mobilio,2015,2.62,7.2,105841,Petrol,Dealer,Manual,0
alto,2011,2.79,22.62,132772,Petrol,Dealer,Manual,0
verna,2018,4.6,11.86,71153,Diesel,Individual,Manual,1
elantra,2016,3.99,12.79,101366,Petrol,Dealer,Manual,1
a-star,2014,5.47,21.58,88469,Petrol,Dealer,Manual,0
swift,2015,6.93,30.3,79062,Petrol,Individual,Manual,0
fortuner,2013,10.03,46.2,124914,Petrol,Dealer,Manual,0
duster,2011,1.13,5.93,119315,Petrol,Dealer,Manual,0
city,2012,2.49,19.14,172655,Petrol,Dealer,Manual,3
kwid,2016,11.01,35.3,82821,Petrol,Individual,Manual,0
swift,2004,0.17,4.57,315734,Petrol,Individual,Manual,0
brio,2008,1.66,19.72,243751,Petrol,Dealer,Manual,0
beat,2006,0.78,16.06,193975,Petrol,Dealer,Manual,1
cruze,2006,1.2,17.89,195106,Petrol,Individual,Manual,0
ciaz,2017,4.17,10.77,90549,Petrol,Individual,Automatic,0
wagon r,2016,2.92,8.85,72075,Diesel,Dealer,Manual,0
jazz,2013,0.17,5.53,98757,Diesel,Individual,Manual,0
figo,2008,2.64,33.52,280490,Petrol,Individual,Automatic,0
grand i10,2014,8.67,32.96,132984,Petrol,Dealer,Manual,0
accord,2013,4.17,19.59,154626,Petrol,Dealer,Manual,0
innova,2010,1.23,9.65,126881,Petrol,Individual,Manual,0
city,2013,0.58,6.19,135474,Petrol,Individual,Automatic,0
tiago,2013,4.67,23.18,145304,Petrol,Dealer,Manual,0
vitara,2015,2.46,6.67,86502,Petrol,Individual,Manual,0
ecosport,2015,2.16,8.61,114338,Petrol,Individual,Manual,0
wagon r,2006,0.61,10.98,189411,Petrol,Dealer,Manual,1
